"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"2610005L07Rik"	4009	1.11809354446961	4.34372532237063	29.4048495479384	0.000899222992565963	0.00237806341569902	"2610005L07Rik"	4.60672003092839	4.93165663528795	4.81809067430094	3.62279468681837	3.84072721004738	3.56034696196607
"2610008E11Rik"	4229	1.87584791401311	4.40817773999497	40.214621557832	0.000347308508498889	0.00116448915375442	"2610008E11Rik"	5.06281103367526	5.11509448160171	4.97844583746031	2.8704744441092	3.70998002387624	2.7932562668036
"2610020C07Rik"	2156	-0.960142616915551	1.70049879377369	2.87492787303862	0.132638206696677	0.171247874828193	"2610020C07Rik"	1.87675597781218	0.174812254669384	1.02164843356276	1.24172340421091	2.24534030054218	2.57504922602452
"2610024D14Rik"	1748	0.863960541323227	2.05880531138339	3.48292420117065	0.103118096286235	0.136463121503692	"2610024D14Rik"	2.06599098283279	2.661722439556	2.43210792914713	2.14931401316428	0.585092710132658	1.55176796765133
"2610035D17Rik"	1848	-0.686903092270443	6.20688384308735	36.6804796754441	0.000461445135540978	0.00143996197373218	"2610035D17Rik"	5.92862212665345	5.75828806205039	5.77980496313715	6.48344468271691	6.58676602792965	6.45615081947473
"2610044O15Rik8"	1776	0.887549052760704	3.43143149282821	8.66950458021611	0.0209220861260399	0.033560734071566	"2610044O15Rik8"	3.80396205955412	3.83649284983565	3.75882487814137	2.96917739555115	2.44125482654172	3.25196552003278
"2610301B20Rik"	2369	-0.422152355336848	3.91786817954258	2.84538386839214	0.134346431274362	0.17314308528244	"2610301B20Rik"	3.79863545911906	3.75946560621343	3.5079538847735	4.25612734262402	4.26484676508609	3.75774774342851
"2610306M01Rik"	1034	-0.716636786894993	2.50040205642282	3.79510790398462	0.09131423390122	0.122517514945678	"2610306M01Rik"	1.85639226748341	2.22751904588315	2.21508919619101	3.17619334877423	2.90690761887509	2.15229297631089
"2610318N02Rik"	1668	-3.71444991476542	5.03023648377822	390.742076828219	1.56023955274272e-07	1.08718192932971e-05	"2610318N02Rik"	2.31014006685474	2.09046928847685	2.32043690015871	6.11079362903781	5.85925939202801	5.78811752505006
"2610507B11Rik"	8147	1.47817026878881	7.37307039934177	150.298897698223	4.4237783126326e-06	6.87318994919886e-05	"2610507B11Rik"	7.95068924426135	8.01865242776227	7.8117054924056	6.40038757482076	6.36087622256023	6.58845810559516
"2610507I01Rik"	2905	1.73893369749215	2.59184532188234	26.3744821140352	0.00123742478451996	0.00305854050513424	"2610507I01Rik"	3.23840116594865	2.95610794170773	3.3462928562832	1.4383115634321	1.13078934064154	1.84013576880928
"2610524H06Rik"	945	-0.995159139538376	4.68010240620657	24.9078495598616	0.00145996438495254	0.00349427635460806	"2610524H06Rik"	4.19305092887437	4.07768416863482	4.03571157996169	5.3565892097638	5.02389296123365	4.85193751127452
"2700038G22Rik"	1370	1.56104619616365	3.15146386536978	29.6733265431531	0.000875305147223433	0.00233192942776103	"2700038G22Rik"	3.54235986818891	3.7707245051247	3.8165603647509	2.11139611723212	2.38522233924676	2.00464067126016
"2700049A03Rik"	6045	0.597567932149623	4.84397132743341	13.4443254730172	0.00762761612901272	0.013917072816146	"2700049A03Rik"	5.1943747792915	5.1500030334083	4.97614453859031	4.5284715012522	4.58806596107508	4.42081968522086
