"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"2310067E19Rik"	8036	-0.964480479723145	2.20362575539795	1.07422693259673	0.329031422809966	0.689065657563771	"2310067E19Rik"	-0.172592888111676	2.81137521868494	1.51214817896308	1.36151483031089	1.96365999977955	3.41671640035114
"2310075K07Rik"	1944	-0.832889223638327	2.71638351061643	0.914360999344709	0.365783217716421	0.718442564575223	"2310075K07Rik"	2.56840617327951	3.10175737613005	0.668094514743057	3.23337761552385	2.64156837461436	2.94588794023936
"2410002F23Rik"	2514	0.414745134684431	6.49020117746236	1.88240338977064	0.205737245342973	0.558718662598005	"2410002F23Rik"	6.97498609375335	6.2015687386248	6.80419514033463	6.308326201827	6.27233889541488	6.16264689580159
"2410003I16Rik"	3680	-0.431895503620459	3.4959964189569	0.363289571487781	0.562670080795867	0.849081050492406	"2410003I16Rik"	2.77836614500178	2.81137521868494	3.45126676252435	2.89758498187649	2.54572708498756	4.89620821630478
"2410004B18Rik"	1709	-0.749677190930191	5.59127978984035	3.23265485769487	0.108272210198639	0.403774734963194	"2410004B18Rik"	6.11513810188127	4.38299160368162	4.75621482296927	6.04272479474248	5.79802344144662	5.65435193711894
"2410004P03Rik"	1878	-1.03033862947036	1.85059640151099	0.790895553331407	0.3986890500417	0.743910277759191	"2410004P03Rik"	3.07958006825273	-0.948057559483718	0.668094514743057	1.57124696822627	1.75092293252578	2.20712364689374
"2410006H16Rik"	461	0.549345053179092	6.68805644328101	3.5218521428948	0.095804557960423	0.379682908716955	"2410006H16Rik"	6.94732043609503	6.62759425468554	7.1843286324199	6.66175037170974	6.29830400529418	6.14876079215786
"2410022M11Rik"	1911	0.590245363665563	3.23173744115777	0.445961061425312	0.522259284076072	0.826695079620415	"2410022M11Rik"	4.82267848126213	1.28960580946978	3.02830474649243	2.85240390022328	2.40715122004208	2.24242149422917
"2500004C02Rik"	1898	-0.70207741576277	3.21374729610111	0.752642071294128	0.409844212059722	0.753147625322392	"2500004C02Rik"	1.68269708696847	2.59845870150118	3.88049319025546	3.42300611638557	3.55107686753884	3.20042459384228
"2510002D24Rik"	3202	0.0842479416426615	6.43985315776002	0.060218498598121	0.812066395408505	0.952975804165608	"2510002D24Rik"	7.06355141454749	5.65423197072941	6.53481130059956	6.49904393691836	6.34887299298583	6.16954014637513
"2510009E07Rik"	5164	-4.31307628495678	3.92348680656545	23.4917048436397	0.00112549827770612	0.0252546017050199	"2510009E07Rik"	2.45073142972883	-0.646738741755826	-0.00086655084681143	4.99899927440196	4.87948530025835	4.48186145789548
"2510022D24Rik"	1468	-0.102039037270073	5.46813372954646	0.0663613604317256	0.802936492761028	0.950652991842335	"2510022D24Rik"	5.72401498555321	4.95315692723699	5.43563632848088	5.9180776530728	5.57139299624665	4.92364984429564
