"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"2810001G20Rik"	901	0.0875569839414897	1.72683695826766	0.166004882943364	0.693250122063165	0.879029376427137	"2810001G20Rik"	1.86485851424472	1.59531762746458	1.58704924480702	1.71181004457915	1.96484734404135	1.62122105648779
"2810002D19Rik"	1484	-0.00115522471870036	4.14171042702539	9.92595421137975e-05	0.992269195737675	0.998559742962066	"2810002D19Rik"	3.92804196949977	4.15632902086266	4.32030833428768	4.15863471875434	4.06196404146974	4.18787354768618
"2810004N23Rik"	1382	-0.16711906655991	4.8219970156983	3.82352943103223	0.0823976478728237	0.393676889404925	"2810004N23Rik"	4.89755102772273	5.02085661777868	4.78221515275668	4.7423659169904	4.76364571133509	4.69599705797317
"2810006K23Rik"	2880	-0.0633048667901276	3.8644842224665	0.302180041246357	0.595953503079203	0.832538781637349	"2810006K23Rik"	3.70636614384675	4.01144290562656	3.95240420703878	3.78123036994609	3.84967258008569	3.85540768397472
"2810013P06Rik"	2028	0.192123714971403	5.5715932278507	8.23246177097345	0.0185834661605078	0.228361830188722	"2810013P06Rik"	5.45123569199554	5.45078113573448	5.5148778846826	5.6498652022485	5.61030699406805	5.73173003159663
"2810021J22Rik"	5440	0.182859411237827	4.45997839803102	3.05233784697047	0.114718250610675	0.449488133242267	"2810021J22Rik"	4.20353761268408	4.47813936774411	4.40079755571693	4.53568532531655	4.71425829212544	4.38005788472339
"2810025M15Rik"	1194	-0.386282560773809	1.60341373751641	2.9906159285576	0.117959327246266	0.453991238292382	"2810025M15Rik"	1.72133301234412	2.07077823900456	1.47711310602606	1.52817096027369	1.39726926177571	1.23571041655771
"2810403D21Rik"	1005	0.0337799880980181	1.91610228518687	0.0236875166513823	0.881093604764957	0.959430234169083	"2810403D21Rik"	1.76381771403072	1.87849007821745	2.00659486626382	2.03832620813466	1.45185755371944	2.22137889193318
"2810408B13Rik"	16091	0.606880620384315	1.16733613361106	5.36512527463127	0.0458878848029919	0.320910566745365	"2810408B13Rik"	1.29852000830729	0.192967167805918	0.893827583751033	1.50348104357317	0.82426863194649	1.81113440353455
"2810414N06Rik"	1468	-0.159252499700741	1.34381608345681	0.383349208538188	0.551232844608124	0.803583620998734	"2810414N06Rik"	1.20910672526703	1.59531762746458	1.38270373306514	1.3176997392478	1.65163764341808	0.708048293468622
